Name                                                    Stmts   Miss  Cover   Missing
src/tests/test_agentic_rag_system.py                      244    199    18%   20-44, 48-67, 71-90, 97-121, 125-138, 146-151, 160-180, 190-247, 259-352, 362-420, 428-461, 465-523, 530-544
src/tests/test_batch_processor.py                         157    127    19%   27-28, 34-50, 58-88, 93-120, 125-157, 161-177, 181-193, 202-224, 229-253, 258-259, 273-293
src/tests/test_build_kg/__init__.py                         0      0   100%
src/tests/test_build_kg/test_annotation_processors.py     160    134    16%   25-27, 32-48, 52-58, 62-73, 77-91, 95-105, 109-119, 127-129, 133-156, 160-174, 182-184, 188-210, 214-226, 235-298, 302-324, 328-335
src/tests/test_build_kg/test_functional_enrichment.py     199    176    12%   19-47, 53-60, 66-91, 99-124, 128-146, 150-195, 199-210, 217-246, 258-338, 343-376
src/tests/test_build_kg/test_integration.py               168    144    14%   22-25, 30-34, 39-43, 48-85, 90-120, 125-170, 174-234, 238-260, 264-269, 273-301
src/tests/test_build_kg/test_rdf_builder.py               202    174    14%   28-40, 44-57, 61-81, 85-128, 132-181, 185-206, 210-255, 259-274, 278-303, 307-313, 321-347, 351-367, 373-436, 441-462, 466-476
src/tests/test_code_interpreter.py                        212    151    29%   24-26, 35, 40-42, 47-52, 58-77, 82-89, 94-102, 107-115, 120-125, 130-137, 146-148, 153, 158-179, 184-203, 210-214, 219-242, 247-267, 276-297, 306-318, 327-330, 335-354, 358-363, 372-383, 389-409, 414-430, 435
src/tests/test_context_compression.py                      77     66    14%   19-32, 36-62, 66-94, 98-145, 149-157, 160
src/tests/test_dbcan_integration.py                       104     83    20%   25-40, 51-52, 56-63, 67-74, 78-90, 95-124, 130-154, 160-168, 172-214, 218
src/tests/test_dfast_qc.py                                194    159    18%   30, 55, 66-69, 79-101, 106-119, 124-134, 139-147, 154-189, 195-216, 223-233, 239-251, 257-268, 291-368, 372
src/tests/test_enhanced_tpr.py                             39     26    33%   25-65, 68
src/tests/test_genomic_questions.py                        57     42    26%   53-119, 122-123
src/tests/test_ggdef_fix.py                                45     32    29%   25-68, 71-72
src/tests/test_ingest/test_00_prepare_inputs.py           169    136    20%   31-43, 47-54, 58-71, 75-88, 99-109, 113-127, 132-145, 153-199, 203-226, 230-253, 257-261, 272-281, 292-319, 323-354
src/tests/test_ingest/test_01_quast.py                    338    269    20%   29-62, 66-74, 78-85, 89-103, 107-122, 130-146, 150-159, 163-173, 177-188, 198-235, 240-258, 263-281, 286-326, 333-334, 337, 340, 344-352, 357, 368-387, 394-411, 416-429, 437-460, 464-484, 488-495, 499-510, 518-523, 527-533, 537-547, 551-568, 572-590, 599-617, 631-663, 667
src/tests/test_ingest/test_03_prodigal.py                 384    313    18%   31-53, 57-65, 69-76, 84-97, 101-105, 109-112, 120-150, 154-161, 165-180, 190-243, 248-271, 276-299, 306-307, 310, 313, 317-325, 330, 342-368, 375-401, 410-461, 465-477, 481-500, 504-548, 556-587, 591-600, 608-610, 617-622, 629-650, 659-723, 730, 777, 792-840
src/tests/test_ingest/test_04_astra_scan.py               130    103    21%   24, 30, 47-79, 86-128, 134-156, 162-175, 181-238, 246-262
src/tests/test_multiple_questions.py                       51     39    24%   30-100
src/tests/test_quast_direct.py                             76     69     9%   14-116, 119-120
src/tests/test_rag_compression_integration.py              60     52    13%   20-130, 133
src/tests/test_simple_limit.py                             50     38    24%   24-76, 79
src/tests/test_tpr_context_format.py                       44     30    32%   26-69, 72
-------------------------------------------------------------------------------------
TOTAL                                                   15793  12983    18%
